,CPI_t
01/10/1996,166.8
01/11/1996,167.2
01/12/1996,167.4
01/01/1997,167.8
01/02/1997,168.1
01/03/1997,168.4
01/04/1997,168.9
01/05/1997,169.2
01/06/1997,169.4
01/07/1997,169.7
01/08/1997,169.8
01/09/1997,170.2
01/10/1997,170.6
01/11/1997,170.8
01/12/1997,171.2
01/01/1998,171.6
01/02/1998,171.9
01/03/1998,172.2
01/04/1998,172.5
01/05/1998,172.9
01/06/1998,173.2
01/07/1998,173.5
01/08/1998,174
01/09/1998,174.2
01/10/1998,174.4
01/11/1998,174.8
01/12/1998,175.4
01/01/1999,175.6
01/02/1999,175.6
01/03/1999,175.7
01/04/1999,176.3
01/05/1999,176.5
01/06/1999,176.6
01/07/1999,177.1
01/08/1999,177.3
01/09/1999,177.8
01/10/1999,178.1
01/11/1999,178.4
01/12/1999,178.7
01/01/2000,179.3
01/02/2000,179.4
01/03/2000,180
01/04/2000,180.3
01/05/2000,180.7
01/06/2000,181.1
01/07/2000,181.5
01/08/2000,181.9
01/09/2000,182.3
01/10/2000,182.6
01/11/2000,183.1
01/12/2000,183.3
01/01/2001,183.9
01/02/2001,184.4
01/03/2001,184.7
01/04/2001,185.1
01/05/2001,185.3
01/06/2001,186
01/07/2001,186.4
01/08/2001,186.7
01/09/2001,187.1
01/10/2001,187.4
01/11/2001,188.1
01/12/2001,188.4
01/01/2002,188.7
01/02/2002,189.1
01/03/2002,189.2
01/04/2002,189.7
01/05/2002,190
01/06/2002,190.2
01/07/2002,190.5
01/08/2002,191.1
01/09/2002,191.3
01/10/2002,191.5
01/11/2002,191.9
01/12/2002,192.1
01/01/2003,192.4
01/02/2003,192.5
01/03/2003,192.5
01/04/2003,192.5
01/05/2003,192.9
01/06/2003,193
01/07/2003,193.4
01/08/2003,193.6
01/09/2003,193.7
01/10/2003,194
01/11/2003,194
01/12/2003,194.2
01/01/2004,194.6
01/02/2004,194.9
01/03/2004,195.5
01/04/2004,195.9
01/05/2004,196.2
01/06/2004,196.6
01/07/2004,196.8
01/08/2004,196.9
01/09/2004,197.5
01/10/2004,197.9
01/11/2004,198.3
01/12/2004,198.6
01/01/2005,199
01/02/2005,199.4
01/03/2005,200.1
01/04/2005,200.2
01/05/2005,200.5
01/06/2005,200.6
01/07/2005,200.9
01/08/2005,201.1
01/09/2005,201.3
01/10/2005,202
01/11/2005,202.5
01/12/2005,202.8
