rx_2,rx_3,rx_4,rx_5,rx_6,rx_7,rx_8,rx_9,rx_10,rx_11,rx_12,rx_13,rx_14,rx_15,rx_16,rx_17,rx_18,rx_19,rx_20
-0.478012781,-1.799428079,-3.144515812,-5.88960396,-7.22453747,-10.01767467,-10.5423887,-12.06564425,-17.08005026,-19.15790685,-19.45566061,-18.68911597,-18.45851279,-18.00873564,-17.34376147,-16.89002416,-16.53889934,-18.20035642,-21.32738766
-0.965736162,-2.956631872,-4.981170787,-8.071433909,-10.31692829,-13.3453869,-14.29197883,-16.82876962,-22.83322805,-24.8394961,-25.62658093,-25.54917952,-26.59068493,-27.46173395,-28.19935626,-29.11946104,-30.42692057,-33.56531852,-38.15437445
-1.475017497,-4.048415065,-6.753236368,-10.68248998,-13.35445268,-16.69771964,-17.97367619,-21.76905704,-27.1323748,-29.10007869,-30.44439804,-31.13206061,-32.4045879,-33.29252889,-33.98036958,-34.73627603,-35.07551582,-36.33588897,-38.5702827
-1.402043727,-4.054851617,-6.499159439,-10.02733523,-12.37603989,-15.70288675,-16.30092179,-20.41064259,-25.64152253,-27.11906023,-28.10901482,-28.35035039,-29.32562777,-29.89678659,-30.2984085,-31.10595436,-34.39891246,-39.39547019,-43.71713538
-0.271435664,-1.396474052,-1.632113847,-3.549048787,-4.693661669,-5.668460694,-5.161610696,-7.886093296,-10.15555075,-9.956619406,-10.5590451,-10.55066983,-11.2707504,-11.81826393,-12.31144005,-12.33061577,-10.74418351,-11.94362274,-15.09109495
-0.17486595,-0.867927577,-1.293700505,-2.721562432,-3.501256765,-3.841115983,-4.009248315,-6.542985287,-9.230868242,-9.06404233,-7.846591508,-6.392756605,-5.603614668,-4.383192876,-2.988321533,-1.866901407,-1.82502051,-4.085944967,-5.165862307
-0.24667866,-1.190778675,-1.775938301,-3.485257192,-4.325935774,-4.812624113,-4.782934689,-7.932177737,-9.998000243,-9.420657427,-8.63994927,-7.649608066,-7.302360381,-6.517949157,-5.592992126,-4.778880717,-5.141762778,-8.631339224,-10.54993762
0.899264826,1.02727976,1.429657904,0.16694575,0.373179608,0.716384206,1.092089331,-0.580801063,-1.058371752,0.507832703,1.740312673,2.783073802,3.215589984,3.93654884,4.710882194,5.596644389,6.700071766,6.296366469,5.811262654
1.57674677,1.911016174,2.719122909,0.902851933,1.09885037,0.816507341,0.092301576,-0.326328134,-1.131913458,0.228614607,1.413937966,1.648871347,1.171518446,0.820145491,0.373159913,-0.35525964,0.0650275,1.851671023,3.472870605
2.151208083,2.93682226,3.744583869,2.323670794,2.764217981,2.484543384,1.613249881,1.571297549,0.383918344,1.521253467,2.610308617,3.063446067,3.064422388,3.224035396,3.25483668,2.513317285,2.887303121,5.009992316,6.118158472
2.110233697,2.848877439,3.608024296,2.735853375,3.465240812,3.73921657,3.564305337,4.626916719,2.683627101,3.575979822,4.782778574,4.868276475,4.385930852,3.949940732,3.525532949,3.744803058,5.786323705,8.41668888,9.245687852
1.732018588,2.253993862,2.970024618,1.501698551,1.825683996,1.336296647,0.251600405,0.982455195,-0.449801195,0.604688858,2.069293896,1.837421155,1.064149373,0.363818749,-0.434407221,-1.299071931,-0.792390689,1.041699567,2.118987326
2.399555136,3.535815673,4.708282902,3.958140783,5.216603992,5.405579136,5.583889205,6.651683332,5.879266091,7.199944411,8.291549166,8.166118367,7.774430271,7.298391634,6.666607551,6.189856085,7.587242269,9.633827591,10.73452289
3.211268508,4.996268816,6.726750875,6.677704337,8.293735078,8.567799946,9.310188316,9.84242672,9.411697953,11.91690277,13.49083336,13.59186208,13.39973518,13.08290125,12.52039443,11.68611189,12.51561585,13.85547277,13.20804527
5.27486604,9.301072642,13.03958369,14.9320673,18.88650382,20.76723071,24.14877783,27.42995642,28.80520208,32.35574443,35.01734414,36.00551767,36.59422994,36.87776399,36.9502066,38.41087235,43.11151423,47.43263536,46.57744444
5.82189899,9.904813082,13.4520682,15.12669785,18.62111553,19.77281493,23.4389241,26.97282519,28.26010293,31.83695613,33.97025705,34.82068266,35.38682627,35.61731732,35.82542595,38.3440776,43.48841509,47.89569545,50.5812933
